Question Number,Topic,Bloom Taxonomy,Question,Choice A,Choice B,Choice C,Choice D,Answer
1,"Intellectual Competencies",Remember,"Which part of speech describes a verb, adjective, or adverb?","Noun","Pronoun","Adverb","Conjunction",C
2,"Intellectual Competencies",Remember,"Who is the 'Ama ng Wikang Pambansa'?","Jose Rizal","Manuel L. Quezon","Andres Bonifacio","Apolinario Mabini",B
3,"Intellectual Competencies",Remember,"What is the value of Pi to two decimal places?","3.12","3.14","3.16","3.18",B
4,"Intellectual Competencies",Remember,"Which sound is produced by the vibration of vocal cords?","Voiced","Voiceless","Nasal","Plosive",A
5,"Intellectual Competencies",Remember,"Identify the Prime Number.","9","15","17","21",C
6,"Intellectual Competencies",Remember,"What is the LCM of 3 and 4?","7","12","24","1",B
7,"Intellectual Competencies",Remember,"Author of 'Noli Me Tangere'.","Del Pilar","Jaena","Rizal","Luna",C
8,"Intellectual Competencies",Understand,"If x + 5 = 12, what reasoning finds x?","Add 5","Subtract 5","Divide by 5","Multiply by 5",B
9,"Intellectual Competencies",Understand,"Meaning of 'A penny saved is a penny earned'?","Money is heavy","Saving is valuable","Pennies are useless","Work hard",B
10,"Intellectual Competencies",Understand,"Bakit mahalaga ang 'po' at 'opo'?","Kasikatan","Paggalang","Panghihingi","Pagbiro",B
11,"Intellectual Competencies",Understand,"Main idea of a paragraph is usually in the:","Topic Sentence","Concluding Sentence","Details","Title",A
12,"Intellectual Competencies",Understand,"Which fraction is equivalent to 0.5?","1/3","1/4","1/2","1/5",C
13,"Intellectual Competencies",Understand,"Translating 'I am hungry' to Filipino contextually:","Gutom ako","Ako ay gutom","Makakain na","Wala akong pagkain",A
14,"Intellectual Competencies",Understand,"Why do we use metaphors?","To confuse","To compare vividly","To count","To rhyme",B
15,"Intellectual Competencies",Understand,"Concept of 'Utang na Loob' refers to:","Money debt","Gratitude debt","Revenge","Laziness",B
16,"Intellectual Competencies",Understand,"Converting 50% to a decimal.","0.05","0.5","5.0","0.005",B
17,"Intellectual Competencies",Apply,"Calculate the area of a square with side 2cm.","4 sq cm","4 sq cm","6 sq cm","10 sq cm",A
18,"Intellectual Competencies",Apply,"Calculate the area of a square with side 3cm.","9 sq cm","6 sq cm","7 sq cm","10 sq cm",A
19,"Intellectual Competencies",Apply,"Calculate the area of a square with side 4cm.","16 sq cm","8 sq cm","8 sq cm","10 sq cm",A
20,"Intellectual Competencies",Apply,"Calculate the area of a square with side 5cm.","25 sq cm","10 sq cm","9 sq cm","10 sq cm",A
21,"Intellectual Competencies",Apply,"Calculate the area of a square with side 6cm.","36 sq cm","12 sq cm","10 sq cm","10 sq cm",A
22,"Intellectual Competencies",Apply,"Calculate the area of a square with side 7cm.","49 sq cm","14 sq cm","11 sq cm","10 sq cm",A
23,"Intellectual Competencies",Apply,"Calculate the area of a square with side 8cm.","64 sq cm","16 sq cm","12 sq cm","10 sq cm",A
24,"Intellectual Competencies",Apply,"Calculate the area of a square with side 9cm.","81 sq cm","18 sq cm","13 sq cm","10 sq cm",A
25,"Intellectual Competencies",Apply,"Calculate the area of a square with side 10cm.","100 sq cm","20 sq cm","14 sq cm","10 sq cm",A
26,"Intellectual Competencies",Apply,"Calculate the area of a square with side 11cm.","121 sq cm","22 sq cm","15 sq cm","10 sq cm",A
27,"Intellectual Competencies",Apply,"Calculate the area of a square with side 12cm.","144 sq cm","24 sq cm","16 sq cm","10 sq cm",A
28,"Intellectual Competencies",Apply,"Calculate the area of a square with side 13cm.","169 sq cm","26 sq cm","17 sq cm","10 sq cm",A
29,"Intellectual Competencies",Apply,"Calculate the area of a square with side 14cm.","196 sq cm","28 sq cm","18 sq cm","10 sq cm",A
30,"Intellectual Competencies",Apply,"Calculate the area of a square with side 15cm.","225 sq cm","30 sq cm","19 sq cm","10 sq cm",A
31,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
32,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
33,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
34,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
35,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
36,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
37,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
38,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
39,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
40,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
41,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
42,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
43,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
44,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
45,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
46,"Intellectual Competencies",Apply,"Choose the correct verb: The team ___ winning.","is","are","were","have",A
47,"Intellectual Competencies",Analyze,"Analyze the error: 'She don't like apples.'","Spelling","Subject-Verb Agreement","Punctuation","Capitalization",B
48,"Intellectual Competencies",Analyze,"In the sequence 2, 4, 8, 16... what is the rule?","Add 2","Multiply by 2","Square it","Add 4",B
49,"Intellectual Competencies",Analyze,"Distinguish fact from opinion.","The sky is blue","Blue is the best color","Water is wet","Fire is hot",B
50,"Intellectual Competencies",Analyze,"Why did the character fail in the story?","Bad luck","Hubris (Pride)","Weather","No reason",B
51,"Intellectual Competencies",Analyze,"Analyze the slope of y = 2x + 1.","1","2","3","0",B
52,"Intellectual Competencies",Analyze,"Difference between Simile and Metaphor.","Length","Use of 'like'/'as'","Topic","Language",B
